"track_name","artist_name","play_count","total_minutes_played"
"Ode To The Mets","The Strokes",207,1123.9
"In the Blood","John Mayer",181,640.5
"Dying Breed","The Killers",166,603.0
"Caution","The Killers",164,593.7
"19 Dias y 500 Noches - En Directo","Joaquín Sabina",148,715.2
"Concerning Hobbits","Howard Shore",142,320.7
"All These Things That I've Done","The Killers",142,595.9
"Come Together - Remastered 2009","The Beatles",137,378.0
"Yesterday - Remastered 2009","The Beatles",134,248.9
"Crucify Your Mind","Rodríguez",131,330.7
"Cavalleria rusticana: Intermezzo","Pietro Mascagni",128,368.8
"Nuovo Cinema Paradiso","Ennio Morricone",127,327.6
"Reminder","Mumford & Sons",127,270.7
"Sweet Virginia","The Rolling Stones",127,461.4
"I Guess I Just Feel Like","John Mayer",127,499.1
